Round,変数,T01,T02,T03,T04,T05,T06,T07,T08,T09,T10,T11,T12,T13,T14
R04,材料納入数,200,125,150,150,200,150,200,300,300,150,100,150,250,150
R05,材料納入数,100,115,200,300,200,200,130,100,300,180,120,150,250,200
R06,材料納入数,50,80,200,60,300,150,100,100,100,100,120,100,100,188
R07,材料納入数,150,100,100,150,500,120,50,100,100,100,80,200,0,150
R08,材料納入数,150,100,200,150,400,150,0,0,200,200,100,120,150,120
R09,材料納入数,200,95,150,70,500,200,50,100,300,160,100,100,100,120
R10,材料納入数,200,100,150,120,420,200,50,100,150,170,20,150,100,150
R11,材料納入数,100,95,150,0,500,130,85,80,500,200,100,0,100,30
R01,累積材料納入数,100,100,100,100,100,100,100,100,100,100,100,100,100,100
R02,累積材料納入数,400,220,250,250,400,300,300,200,300,300,300,225,300,300
R03,累積材料納入数,700,340,450,400,600,450,400,300,600,430,500,350,500,450
R04,累積材料納入数,900,465,600,550,800,600,600,600,900,580,600,500,750,600
R05,累積材料納入数,"1,000",580,800,850,"1,000",800,730,700,"1,200",760,720,650,"1,000",800
R06,累積材料納入数,"1,050",660,"1,000",910,"1,300",950,830,800,"1,300",860,840,750,"1,100",988
R07,累積材料納入数,"1,200",760,"1,100","1,060","1,800","1,070",880,900,"1,400",960,920,950,"1,100","1,138"
R08,累積材料納入数,"1,350",860,"1,300","1,210","2,200","1,220",880,900,"1,600","1,160","1,020","1,070","1,250","1,258"
R09,累積材料納入数,"1,550",955,"1,450","1,280","2,700","1,420",930,"1,000","1,900","1,320","1,120","1,170","1,350","1,378"
R10,累積材料納入数,"1,750","1,055","1,600","1,400","3,120","1,620",980,"1,100","2,050","1,490","1,140","1,320","1,450","1,528"
R11,累積材料納入数,"1,850","1,150","1,750","1,400","3,620","1,750","1,065","1,180","2,550","1,690","1,240","1,320","1,550","1,558"
R01,調達費用,"40,000","40,000","40,000","40,000","40,000","40,000","40,000","40,000","40,000","40,000","40,000","40,000","40,000","40,000"
R02,調達費用,"120,000","48,000","60,000","60,000","120,000","80,000","80,000","40,000","80,000","80,000","80,000","50,000","80,000","80,000"
R03,調達費用,"120,000","48,000","80,000","60,000","80,000","60,000","40,000","40,000","120,000","52,000","80,000","50,000","80,000","60,000"
R04,調達費用,"80,000","50,000","60,000","60,000","80,000","60,000","80,000","120,000","120,000","60,000","40,000","60,000","100,000","60,000"
R05,調達費用,"40,000","46,000","80,000","120,000","80,000","80,000","52,000","40,000","120,000","72,000","48,000","60,000","100,000","80,000"
R06,調達費用,"20,000","32,000","80,000","24,000","120,000","60,000","40,000","40,000","40,000","40,000","48,000","40,000","40,000","75,200"
R07,調達費用,"60,000","40,000","40,000","60,000","200,000","48,000","20,000","40,000","40,000","40,000","32,000","80,000",0,"60,000"
R08,調達費用,"60,000","40,000","80,000","60,000","160,000","60,000",0,0,"80,000","80,000","40,000","48,000","60,000","48,000"
R09,調達費用,"80,000","38,000","60,000","28,000","200,000","80,000","20,000","40,000","120,000","64,000","40,000","40,000","40,000","48,000"
R10,調達費用,"80,000","40,000","60,000","48,000","168,000","80,000","20,000","40,000","60,000","68,000","8,000","60,000","40,000","60,000"
R11,調達費用,"40,000","38,000","60,000",0,"200,000","52,000","34,000","32,000","200,000","80,000","40,000",0,"40,000","12,000"
R01,生産可能数,100,100,100,100,100,100,100,100,100,100,100,100,100,100
R02,生産可能数,300,120,150,150,300,200,200,100,200,200,200,125,200,200
R03,生産可能数,500,130,200,180,300,200,200,100,400,200,280,125,200,250
R04,生産可能数,540,140,200,210,300,200,250,300,500,200,230,150,250,150
R05,生産可能数,240,135,250,390,280,200,250,200,500,200,200,150,250,200
R06,生産可能数,190,115,300,300,330,200,270,200,380,170,200,100,230,238
R07,生産可能数,240,115,250,300,530,200,270,200,280,150,200,200,150,200
R08,生産可能数,290,115,300,300,580,200,200,100,330,200,200,220,230,170
R09,生産可能数,440,110,300,250,580,250,175,100,330,200,200,200,250,120
R10,生産可能数,570,110,300,250,500,300,145,120,310,200,100,230,230,200
R11,生産可能数,170,105,150,150,500,130,145,120,510,230,100,130,230,110
R01,生産指示数,100,100,100,100,100,100,100,100,100,100,100,100,100,100
R02,生産指示数,100,110,150,120,200,150,100,100,100,130,120,125,200,100
R03,生産指示数,160,115,150,120,200,150,150,100,200,150,150,125,200,250
R04,生産指示数,400,120,150,120,220,200,130,200,300,180,150,150,250,150
R05,生産指示数,100,100,150,150,250,150,80,100,220,130,120,150,120,150
R06,生産指示数,100,100,150,150,300,120,50,100,200,120,80,100,80,188
R07,生産指示数,100,100,150,150,350,150,70,100,150,150,100,100,70,150
R08,生産指示数,50,100,150,120,500,150,75,100,300,160,100,120,80,170
R09,生産指示数,70,100,150,120,500,150,80,80,170,170,120,120,120,70
R10,生産指示数,500,100,300,100,500,300,85,80,300,170,100,100,100,120
R11,生産指示数,100,100,150,100,150,100,90,100,500,230,80,100,100,110
R01,生産待ち数,100,100,100,100,100,100,100,100,100,100,100,100,100,100
R02,生産待ち数,100,110,150,120,200,150,100,100,100,130,120,125,200,100
R03,生産待ち数,160,115,150,120,200,150,150,100,200,150,150,125,200,250
R04,生産待ち数,400,120,150,120,220,200,130,200,300,180,150,150,250,150
R05,生産待ち数,100,100,150,150,250,150,80,100,220,130,120,150,120,150
R06,生産待ち数,100,100,150,150,300,120,50,100,200,120,80,100,80,188
R07,生産待ち数,100,100,150,150,350,150,70,100,150,150,100,100,70,150
R08,生産待ち数,50,100,150,120,500,150,75,100,300,160,100,120,80,170
R09,生産待ち数,70,100,150,120,500,150,80,80,170,170,120,120,120,70
R10,生産待ち数,500,100,300,100,500,300,85,80,300,170,100,100,100,120
R11,生産待ち数,100,100,150,100,150,100,90,100,500,230,80,100,100,110
R01,材料在庫数,0,0,0,0,0,0,0,0,0,0,0,0,0,0
R02,材料在庫数,200,10,0,30,100,50,100,0,100,70,80,0,0,100
R03,材料在庫数,340,15,50,60,100,50,50,0,200,50,130,0,0,0
R04,材料在庫数,140,20,50,90,80,0,120,100,200,20,80,0,0,0
R05,材料在庫数,140,35,100,240,30,50,170,100,280,70,80,0,130,50
R06,材料在庫数,90,15,150,150,30,80,220,100,180,50,120,0,150,50
R07,材料在庫数,140,15,100,150,180,50,200,100,130,0,100,100,80,50
R08,材料在庫数,240,15,150,180,80,50,125,0,30,40,100,100,150,0
R09,材料在庫数,370,10,150,130,80,100,95,20,160,30,80,80,130,50
R10,材料在庫数,70,10,0,150,0,0,60,40,10,30,0,130,130,80
R11,材料在庫数,70,5,0,50,350,30,55,20,10,0,20,30,130,0
R01,生産数,100,100,100,100,100,100,100,100,100,100,100,100,100,100
R02,生産数,100,100,100,100,100,100,100,100,100,100,100,100,100,100
R03,生産数,100,110,150,120,200,150,100,100,100,130,120,125,200,100
R04,生産数,160,115,150,120,200,150,150,100,200,150,150,125,200,250
R05,生産数,400,120,150,120,220,200,130,200,300,180,150,150,250,150
R06,生産数,100,100,150,150,250,150,80,100,220,130,120,150,120,150
R07,生産数,100,100,150,150,300,120,50,100,200,120,80,100,80,188
R08,生産数,100,100,150,150,350,150,70,100,150,150,100,100,70,150
R09,生産数,50,100,150,120,500,150,75,100,300,160,100,120,80,170
R10,生産数,70,100,150,120,500,150,80,80,170,170,120,120,120,70
R11,生産数,500,100,300,100,500,300,85,80,300,170,100,100,100,120
R01,累積生産数,100,100,100,100,100,100,100,100,100,100,100,100,100,100
R02,累積生産数,200,200,200,200,200,200,200,200,200,200,200,200,200,200
R03,累積生産数,300,310,350,320,400,350,300,300,300,330,320,325,400,300
R04,累積生産数,460,425,500,440,600,500,450,400,500,480,470,450,600,550
R05,累積生産数,860,545,650,560,820,700,580,600,800,660,620,600,850,700
R06,累積生産数,960,645,800,710,"1,070",850,660,700,"1,020",790,740,750,970,850
R07,累積生産数,"1,060",745,950,860,"1,370",970,710,800,"1,220",910,820,850,"1,050","1,038"
R08,累積生産数,"1,160",845,"1,100","1,010","1,720","1,120",780,900,"1,370","1,060",920,950,"1,120","1,188"
R09,累積生産数,"1,210",945,"1,250","1,130","2,220","1,270",855,"1,000","1,670","1,220","1,020","1,070","1,200","1,358"
R10,累積生産数,"1,280","1,045","1,400","1,250","2,720","1,420",935,"1,080","1,840","1,390","1,140","1,190","1,320","1,428"
R11,累積生産数,"1,780","1,145","1,700","1,350","3,220","1,720","1,020","1,160","2,140","1,560","1,240","1,290","1,420","1,548"
R01,生産費用,"10,000","10,000","10,000","10,000","10,000","10,000","10,000","10,000","10,000","10,000","10,000","10,000","10,000","10,000"
R02,生産費用,"10,000","11,000","15,000","12,000","20,000","15,000","10,000","10,000","10,000","13,000","12,000","12,500","20,000","10,000"
R03,生産費用,"16,000","11,500","15,000","12,000","20,000","15,000","15,000","10,000","20,000","15,000","15,000","12,500","20,000","25,000"
R04,生産費用,"40,000","12,000","15,000","12,000","22,000","20,000","13,000","20,000","30,000","18,000","15,000","15,000","25,000","15,000"
R05,生産費用,"10,000","10,000","15,000","15,000","25,000","15,000","8,000","10,000","22,000","13,000","12,000","15,000","12,000","15,000"
R06,生産費用,"10,000","10,000","15,000","15,000","30,000","12,000","5,000","10,000","20,000","12,000","8,000","10,000","8,000","18,800"
R07,生産費用,"10,000","10,000","15,000","15,000","35,000","15,000","7,000","10,000","15,000","15,000","10,000","10,000","7,000","15,000"
R08,生産費用,"5,000","10,000","15,000","12,000","50,000","15,000","7,500","10,000","30,000","16,000","10,000","12,000","8,000","17,000"
R09,生産費用,"7,000","10,000","15,000","12,000","50,000","15,000","8,000","8,000","17,000","17,000","12,000","12,000","12,000","7,000"
R10,生産費用,"50,000","10,000","30,000","10,000","50,000","30,000","8,500","8,000","30,000","17,000","10,000","10,000","10,000","12,000"
R11,生産費用,"10,000","10,000","15,000","10,000","15,000","10,000","9,000","10,000","50,000","23,000","8,000","10,000","10,000","11,000"
R01,販売可能数,100,100,100,100,100,100,100,100,100,100,100,100,100,100
R02,販売可能数,100,100,100,100,100,100,100,100,100,100,100,100,100,100
R03,販売可能数,100,110,150,120,200,150,100,100,100,130,120,125,200,100
R04,販売可能数,160,115,150,120,200,150,150,100,200,150,150,125,200,250
R05,販売可能数,400,120,150,120,220,200,130,200,300,180,150,150,250,150
R06,販売可能数,100,100,150,150,250,150,80,100,220,130,120,150,120,150
R07,販売可能数,100,100,150,150,300,120,50,100,200,120,80,100,80,188
R08,販売可能数,100,100,150,150,350,150,70,100,150,150,100,100,70,150
R09,販売可能数,50,100,150,120,500,150,75,100,300,160,100,120,80,170
R10,販売可能数,70,100,150,120,500,150,80,80,170,170,120,120,120,70
R11,販売可能数,500,100,300,100,500,300,85,80,300,170,100,100,100,120
R01,来店者数,95,124,124,131,124,142,124,151,124,142,117,142,108,134
R02,来店者数,119,119,145,123,109,102,109,115,109,111,136,138,116,113
R03,来店者数,177,98,160,96,187,161,89,87,102,116,100,106,151,94
R04,来店者数,298,71,120,90,132,97,76,119,170,104,93,87,142,209
R05,来店者数,344,73,89,86,180,145,83,52,165,145,75,119,180,78
R06,来店者数,81,89,155,169,245,169,89,98,177,127,114,127,137,112
R07,来店者数,101,96,137,146,349,143,68,97,170,112,71,108,84,211
R08,来店者数,95,100,151,151,381,175,70,90,125,135,96,102,88,130
R09,来店者数,40,76,118,90,635,124,59,61,267,109,67,82,57,139
R10,来店者数,52,90,151,112,461,171,94,69,112,179,116,125,112,80
R11,来店者数,408,60,258,63,332,177,46,44,218,99,67,65,55,66
R01,累積来店者数,95,124,124,131,124,142,124,151,124,142,117,142,108,134
R02,累積来店者数,214,243,269,254,233,244,233,266,233,253,253,280,224,247
R03,累積来店者数,391,341,429,350,420,405,322,353,335,369,353,386,375,341
R04,累積来店者数,689,412,549,440,552,502,398,472,505,473,446,473,517,550
R05,累積来店者数,"1,033",485,638,526,732,647,481,524,670,618,521,592,697,628
R06,累積来店者数,"1,114",574,793,695,977,816,570,622,847,745,635,719,834,740
R07,累積来店者数,"1,215",670,930,841,"1,326",959,638,719,"1,017",857,706,827,918,951
R08,累積来店者数,"1,310",770,"1,081",992,"1,707","1,134",708,809,"1,142",992,802,929,"1,006","1,081"
R09,累積来店者数,"1,350",846,"1,199","1,082","2,342","1,258",767,870,"1,409","1,101",869,"1,011","1,063","1,220"
R10,累積来店者数,"1,402",936,"1,350","1,194","2,803","1,429",861,939,"1,521","1,280",985,"1,136","1,175","1,300"
R11,累積来店者数,"1,810",996,"1,608","1,257","3,135","1,606",907,983,"1,739","1,379","1,052","1,201","1,230","1,366"
R01,販売数,95,100,100,100,100,100,100,100,100,100,100,100,100,100
R02,販売数,100,100,100,100,100,100,100,100,100,100,100,100,100,100
R03,販売数,100,98,150,96,187,150,89,87,100,116,100,106,151,94
R04,販売数,160,71,120,90,132,97,76,100,170,104,93,87,142,209
R05,販売数,344,73,89,86,180,145,83,52,165,145,75,119,180,78
R06,販売数,81,89,150,150,245,150,80,98,177,127,114,127,120,112
R07,販売数,100,96,137,146,300,120,50,97,170,112,71,100,80,188
R08,販売数,95,100,150,150,350,150,70,90,125,135,96,100,70,130
R09,販売数,40,76,118,90,500,124,59,61,267,109,67,82,57,139
R10,販売数,52,90,150,112,461,150,80,69,112,170,116,120,112,70
R11,販売数,408,60,258,63,332,177,46,44,218,99,67,65,55,66
R01,累積販売数,95,100,100,100,100,100,100,100,100,100,100,100,100,100
R01,剰余金,"25,000","20,000","20,000","18,000","20,000","15,000","20,000","13,000","20,000","15,000","22,000","15,000","25,000","17,000"
R02,累積販売数,195,200,200,200,200,200,200,200,200,200,200,200,200,200
R02,剰余金,"55,000","47,000","40,000","43,000","50,000","45,000","50,000","38,000","50,000","42,000","45,000","35,000","55,000","44,500"
R03,累積販売数,295,298,350,296,387,350,289,287,300,316,300,306,351,294
R03,剰余金,"61,000","65,100","60,500","54,200","70,250","70,000","69,000","55,000","75,000","61,400","57,000","47,900","57,310","66,150"
R04,累積販売数,455,369,470,386,519,447,365,387,470,420,393,393,493,503
R04,剰余金,"41,000","53,275","54,300","49,800","45,290","52,600","42,400","60,000","65,500","48,976","39,190","39,350","36,710","46,550"
R05,累積販売数,799,442,559,472,699,592,448,439,635,565,468,512,673,581
R05,剰余金,"-41,400","30,945","24,270","33,440","14,290","19,600","19,650","-15,540","-10,450","25,976","2,690","21,700","-9,290","11,454"
R06,累積販売数,880,531,709,622,944,742,528,537,812,692,582,639,793,693
R01,品切損失数,0,24,24,31,24,42,24,51,24,42,17,42,8,34
R02,品切損失数,19,19,45,23,9,2,9,15,9,11,36,38,16,13
R03,品切損失数,77,0,10,0,0,11,0,0,2,0,0,0,0,0
R04,品切損失数,138,0,0,0,0,0,0,19,0,0,0,0,0,0
R05,品切損失数,0,0,0,0,0,0,0,0,0,0,0,0,0,0
R06,品切損失数,0,0,5,19,0,19,9,0,0,0,0,0,17,0
R07,品切損失数,1,0,0,0,49,23,18,0,0,0,0,8,4,23
R08,品切損失数,0,0,1,1,31,25,0,0,0,0,0,2,18,0
R09,品切損失数,0,0,0,0,135,0,0,0,0,0,0,0,0,0
R10,品切損失数,0,0,1,0,0,21,14,0,0,9,0,5,0,10
R11,品切損失数,0,0,0,0,0,0,0,0,0,0,0,0,0,0
R01,累積品切損失数,0,-24,-24,-31,-24,-42,-24,-51,-24,-42,-17,-42,-8,-34
R02,累積品切損失数,-19,-43,-69,-54,-33,-44,-33,-66,-33,-53,-53,-80,-24,-47
R03,累積品切損失数,-96,-43,-79,-54,-33,-55,-33,-66,-35,-53,-53,-80,-24,-47
R04,累積品切損失数,-234,-43,-79,-54,-33,-55,-33,-85,-35,-53,-53,-80,-24,-47
R05,累積品切損失数,-234,-43,-79,-54,-33,-55,-33,-85,-35,-53,-53,-80,-24,-47
R06,累積品切損失数,-234,-43,-84,-73,-33,-74,-42,-85,-35,-53,-53,-80,-41,-47
R07,累積品切損失数,-235,-43,-84,-73,-82,-97,-60,-85,-35,-53,-53,-88,-45,-70
R08,累積品切損失数,-235,-43,-85,-74,-113,-122,-60,-85,-35,-53,-53,-90,-63,-70
R09,累積品切損失数,-235,-43,-85,-74,-248,-122,-60,-85,-35,-53,-53,-90,-63,-70
R10,累積品切損失数,-235,-43,-86,-74,-248,-143,-74,-85,-35,-62,-53,-95,-63,-80
R11,累積品切損失数,-235,-43,-86,-74,-248,-143,-74,-85,-35,-62,-53,-95,-63,-80
R01,品切損失金額,0,"9,600","9,600","11,780","9,600","14,700","9,600","16,830","9,600","14,700","7,140","14,700","3,600","12,580"
R02,品切損失金額,"9,500","8,930","18,000","10,350","4,500","1,000","4,500","6,750","4,500","5,170","15,480","15,200","8,000","6,175"
R03,品切損失金額,"20,020",0,"2,700",0,0,"3,300",0,0,900,0,0,0,0,0
R04,品切損失金額,0,0,0,0,0,0,0,"4,750",0,0,0,0,0,0
R05,品切損失金額,0,0,0,0,0,0,0,0,0,0,0,0,0,0
R06,品切損失金額,0,0,500,"1,520",0,"1,520","2,250",0,0,0,0,0,"2,210",0
R07,品切損失金額,240,0,0,0,0,"2,990","6,300",0,0,0,0,"1,760","1,080","1,150"
R08,品切損失金額,0,0,150,150,0,"2,500",0,0,0,0,0,500,"5,400",0
R09,品切損失金額,0,0,0,0,0,0,0,0,0,0,0,0,0,0
R10,品切損失金額,0,0,120,0,0,"1,890","3,500",0,0,720,0,850,0,"3,000"
R11,品切損失金額,0,0,0,0,0,0,0,0,0,0,0,0,0,0
R01,累積品切損失金額,0,"-9,600","-9,600","-11,780","-9,600","-14,700","-9,600","-16,830","-9,600","-14,700","-7,140","-14,700","-3,600","-12,580"
R02,累積品切損失金額,"-9,500","-18,530","-27,600","-22,130","-14,100","-15,700","-14,100","-23,580","-14,100","-19,870","-22,620","-29,900","-11,600","-18,755"
R03,累積品切損失金額,"-29,520","-18,530","-30,300","-22,130","-14,100","-19,000","-14,100","-23,580","-15,000","-19,870","-22,620","-29,900","-11,600","-18,755"
R04,累積品切損失金額,"-29,520","-18,530","-30,300","-22,130","-14,100","-19,000","-14,100","-28,330","-15,000","-19,870","-22,620","-29,900","-11,600","-18,755"
R05,累積品切損失金額,"-29,520","-18,530","-30,300","-22,130","-14,100","-19,000","-14,100","-28,330","-15,000","-19,870","-22,620","-29,900","-11,600","-18,755"
R06,累積品切損失金額,"-29,520","-18,530","-30,800","-23,650","-14,100","-20,520","-16,350","-28,330","-15,000","-19,870","-22,620","-29,900","-13,810","-18,755"
R07,累積品切損失金額,"-29,760","-18,530","-30,800","-23,650","-14,100","-23,510","-22,650","-28,330","-15,000","-19,870","-22,620","-31,660","-14,890","-19,905"
R08,累積品切損失金額,"-29,760","-18,530","-30,950","-23,800","-14,100","-26,010","-22,650","-28,330","-15,000","-19,870","-22,620","-32,160","-20,290","-19,905"
R09,累積品切損失金額,"-29,760","-18,530","-30,950","-23,800","-14,100","-26,010","-22,650","-28,330","-15,000","-19,870","-22,620","-32,160","-20,290","-19,905"
R10,累積品切損失金額,"-29,760","-18,530","-31,070","-23,800","-14,100","-27,900","-26,150","-28,330","-15,000","-20,590","-22,620","-33,010","-20,290","-22,905"
R11,累積品切損失金額,"-29,760","-18,530","-31,070","-23,800","-14,100","-27,900","-26,150","-28,330","-15,000","-20,590","-22,620","-33,010","-20,290","-22,905"
R01,製品在庫数,0,0,0,0,0,0,0,0,0,0,0,0,0,0
R02,製品在庫数,0,0,0,0,0,0,0,0,0,0,0,0,0,0
R03,製品在庫数,0,0,0,0,0,0,0,0,0,0,0,0,0,0
R04,製品在庫数,0,0,0,0,0,0,0,0,0,0,0,0,0,0
R05,製品在庫数,0,0,0,0,0,0,0,0,0,0,0,0,0,0
R06,製品在庫数,0,0,0,0,0,0,0,0,0,0,0,0,0,0
R07,製品在庫数,0,0,0,0,0,0,0,0,0,0,0,0,0,0
R08,製品在庫数,0,0,0,0,0,0,0,0,0,0,0,0,0,0
R09,製品在庫数,0,0,0,0,0,0,0,0,0,0,0,0,0,0
