Round,変数,T01,T02,T03,T04,T05,T06,T07,T08,T09,T10,T11,T12,T13,T14
R01,商品需要,"1,781","1,781","1,781","1,781","1,781","1,781","1,781","1,781","1,781","1,781","1,781","1,781","1,781","1,781"
R02,商品需要,"1,817","1,817","1,817","1,817","1,817","1,817","1,817","1,817","1,817","1,817","1,817","1,817","1,817","1,817"
R03,商品需要,"1,829","1,829","1,829","1,829","1,829","1,829","1,829","1,829","1,829","1,829","1,829","1,829","1,829","1,829"
R04,商品需要,"1,848","1,848","1,848","1,848","1,848","1,848","1,848","1,848","1,848","1,848","1,848","1,848","1,848","1,848"
R05,商品需要,"1,875","1,875","1,875","1,875","1,875","1,875","1,875","1,875","1,875","1,875","1,875","1,875","1,875","1,875"
R06,商品需要,"1,889","1,889","1,889","1,889","1,889","1,889","1,889","1,889","1,889","1,889","1,889","1,889","1,889","1,889"
R07,商品需要,"1,920","1,920","1,920","1,920","1,920","1,920","1,920","1,920","1,920","1,920","1,920","1,920","1,920","1,920"
R08,商品需要,"1,940","1,940","1,940","1,940","1,940","1,940","1,940","1,940","1,940","1,940","1,940","1,940","1,940","1,940"
R09,商品需要,"1,956","1,956","1,956","1,956","1,956","1,956","1,956","1,956","1,956","1,956","1,956","1,956","1,956","1,956"
R10,商品需要,"1,978","1,978","1,978","1,978","1,978","1,978","1,978","1,978","1,978","1,978","1,978","1,978","1,978","1,978"
R11,商品需要,"1,982","1,982","1,982","1,982","1,982","1,982","1,982","1,982","1,982","1,982","1,982","1,982","1,982","1,982"
R01,一般管理費,"20,000","20,000","20,000","20,000","20,000","20,000","20,000","20,000","20,000","20,000","20,000","20,000","20,000","20,000"
R02,一般管理費,"20,000","20,000","20,000","20,000","20,000","20,000","20,000","20,000","20,000","20,000","20,000","20,000","20,000","20,000"
R03,一般管理費,"20,000","20,000","20,000","20,000","20,000","20,000","20,000","20,000","20,000","20,000","20,000","20,000","20,000","20,000"
R04,一般管理費,"20,000","20,000","20,000","20,000","20,000","20,000","20,000","20,000","20,000","20,000","20,000","20,000","20,000","20,000"
R05,一般管理費,"20,000","20,000","20,000","20,000","20,000","20,000","20,000","20,000","20,000","20,000","20,000","20,000","20,000","20,000"
R06,一般管理費,"20,000","20,000","20,000","20,000","20,000","20,000","20,000","20,000","20,000","20,000","20,000","20,000","20,000","20,000"
R07,一般管理費,"20,000","20,000","20,000","20,000","20,000","20,000","20,000","20,000","20,000","20,000","20,000","20,000","20,000","20,000"
R08,一般管理費,"20,000","20,000","20,000","20,000","20,000","20,000","20,000","20,000","20,000","20,000","20,000","20,000","20,000","20,000"
R09,一般管理費,"20,000","20,000","20,000","20,000","20,000","20,000","20,000","20,000","20,000","20,000","20,000","20,000","20,000","20,000"
R10,一般管理費,"20,000","20,000","20,000","20,000","20,000","20,000","20,000","20,000","20,000","20,000","20,000","20,000","20,000","20,000"
R11,一般管理費,"20,000","20,000","20,000","20,000","20,000","20,000","20,000","20,000","20,000","20,000","20,000","20,000","20,000","20,000"
R01,販売価格,"1,000",900,900,880,900,850,900,830,900,850,920,850,950,870
R02,販売価格,"1,000",970,900,950,"1,000","1,000","1,000",950,"1,000",970,930,900,"1,000",975
R03,販売価格,760,950,770,950,750,800,"1,000","1,000",950,900,920,900,810,975
R04,販売価格,500,925,740,840,720,800,900,750,650,794,830,850,700,600
R05,販売価格,400,790,730,740,550,600,750,855,570,600,780,650,550,768
R06,販売価格,780,750,600,580,500,580,750,720,570,650,680,650,630,684
R07,販売価格,740,755,650,625,450,630,850,750,600,710,850,720,770,550
R08,販売価格,780,765,650,650,440,600,850,800,700,680,780,750,800,672
R09,販売価格,"1,000",778,650,725,330,620,860,850,470,674,820,750,830,610
R10,販売価格,950,765,620,700,380,590,750,850,700,580,690,670,700,800
R11,販売価格,350,755,420,740,380,480,800,850,450,607,720,720,780,710
R01,製造指示,100,100,100,100,100,100,100,100,100,100,100,100,100,100
R02,製造指示,100,110,150,120,200,150,100,100,100,130,120,125,200,100
R03,製造指示,160,115,150,120,200,150,150,100,200,150,150,125,200,250
R04,製造指示,400,120,150,120,220,200,130,200,300,180,150,150,250,150
R05,製造指示,100,100,150,150,250,150,80,100,220,130,120,150,120,150
R06,製造指示,100,100,150,150,300,120,50,100,200,120,80,100,80,188
R07,製造指示,100,100,150,150,350,150,70,100,150,150,100,100,70,150
R08,製造指示,50,100,150,120,500,150,75,100,300,160,100,120,80,170
R09,製造指示,70,100,150,120,500,150,80,80,170,170,120,120,120,70
R10,製造指示,500,100,300,100,500,300,85,80,300,170,100,100,100,120
R11,製造指示,100,100,150,100,150,100,90,100,500,230,80,100,100,110
R01,材料調達,300,120,150,150,300,200,200,100,200,200,200,125,200,200
R02,材料調達,300,120,200,150,200,150,100,100,300,130,200,125,200,150
R03,材料調達,200,125,150,150,200,150,200,300,300,150,100,150,250,150
R04,材料調達,100,115,200,300,200,200,130,100,300,180,120,150,250,200
R05,材料調達,50,80,200,60,300,150,100,100,100,100,120,100,100,188
R06,材料調達,150,100,100,150,500,120,50,100,100,100,80,200,0,150
R07,材料調達,150,100,200,150,400,150,0,0,200,200,100,120,150,120
R08,材料調達,200,95,150,70,500,200,50,100,300,160,100,100,100,120
R09,材料調達,200,100,150,120,420,200,50,100,150,170,20,150,100,150
R10,材料調達,100,95,150,0,500,130,85,80,500,200,100,0,100,30
R11,材料調達,30,100,200,50,0,120,90,60,300,250,200,100,100,100
R01,累積販売価格,"1,000",900,900,880,900,850,900,830,900,850,920,850,950,870
R02,累積販売価格,"2,000","1,870","1,800","1,830","1,900","1,850","1,900","1,780","1,900","1,820","1,850","1,750","1,950","1,845"
R03,累積販売価格,"2,760","2,820","2,570","2,780","2,650","2,650","2,900","2,780","2,850","2,720","2,770","2,650","2,760","2,820"
R04,累積販売価格,"3,260","3,745","3,310","3,620","3,370","3,450","3,800","3,530","3,500","3,514","3,600","3,500","3,460","3,420"
R05,累積販売価格,"3,660","4,535","4,040","4,360","3,920","4,050","4,550","4,385","4,070","4,114","4,380","4,150","4,010","4,188"
R06,累積販売価格,"4,440","5,285","4,640","4,940","4,420","4,630","5,300","5,105","4,640","4,764","5,060","4,800","4,640","4,872"
R07,累積販売価格,"5,180","6,040","5,290","5,565","4,870","5,260","6,150","5,855","5,240","5,474","5,910","5,520","5,410","5,422"
R08,累積販売価格,"5,960","6,805","5,940","6,215","5,310","5,860","7,000","6,655","5,940","6,154","6,690","6,270","6,210","6,094"
R09,累積販売価格,"6,960","7,583","6,590","6,940","5,640","6,480","7,860","7,505","6,410","6,828","7,510","7,020","7,040","6,704"
R10,累積販売価格,"7,910","8,348","7,210","7,640","6,020","7,070","8,610","8,355","7,110","7,408","8,200","7,690","7,740","7,504"
R11,累積販売価格,"8,260","9,103","7,630","8,380","6,400","7,550","9,410","9,205","7,560","8,015","8,920","8,410","8,520","8,214"
R01,材料発注数,300,120,150,150,300,200,200,100,200,200,200,125,200,200
R02,材料発注数,300,120,200,150,200,150,100,100,300,130,200,125,200,150
R03,材料発注数,200,125,150,150,200,150,200,300,300,150,100,150,250,150
R04,材料発注数,100,115,200,300,200,200,130,100,300,180,120,150,250,200
R05,材料発注数,50,80,200,60,300,150,100,100,100,100,120,100,100,188
R06,材料発注数,150,100,100,150,500,120,50,100,100,100,80,200,0,150
R07,材料発注数,150,100,200,150,400,150,0,0,200,200,100,120,150,120
R08,材料発注数,200,95,150,70,500,200,50,100,300,160,100,100,100,120
R09,材料発注数,200,100,150,120,420,200,50,100,150,170,20,150,100,150
R10,材料発注数,100,95,150,0,500,130,85,80,500,200,100,0,100,30
R11,材料発注数,30,100,200,50,0,120,90,60,300,250,200,100,100,100
R01,材料納入数,100,100,100,100,100,100,100,100,100,100,100,100,100,100
R02,材料納入数,300,120,150,150,300,200,200,100,200,200,200,125,200,200
R03,材料納入数,300,120,200,150,200,150,100,100,300,130,200,125,200,150
